driver_number,driver_name,lap_number,stint_number,compound,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration
20,MAG,4,1,HARD,28.526,41.142,27.981,306.0,273,97.649
81,PIA,2,1,SOFT,27.334,39.326,26.242,308.0,278,92.902
31,OCO,11,2,SOFT,27.436,39.265,26.278,305.0,275,92.979
18,STR,15,4,SOFT,27.497,40.211,27.043,305.0,273,94.751
27,HUL,7,2,SOFT,35.875554819720385,64.506,45.004,208.0,244,302.82
18,STR,20,4,SOFT,28.598,42.71,27.437,294.0,266,98.745
24,ZHO,25,3,HARD,56.727,47.001,42.265,279.0,212,145.993
27,HUL,10,2,SOFT,42.323,52.406,34.392,160.0,191,129.121
11,PER,22,3,SOFT,58.334,48.759,37.811,271.0,231,144.904
2,SAR,10,2,SOFT,39.65,61.716,34.766,219.0,249,136.132
18,STR,20,3,MEDIUM,28.874,41.924,27.666,292.0,262,98.464
22,TSU,18,4,MEDIUM,29.137,41.69,27.651,252.29595222295953,256,98.478
63,RUS,17,3,SOFT,33.502,51.482,39.289,193.0,243,124.273
40,RESERVE,19,3,MEDIUM,28.875,42.124,27.849,284.0,257,98.848
16,LEC,22,5,MEDIUM,28.789,41.962,27.721,289.0,260,98.472
16,LEC,12,3,MEDIUM,35.875554819720385,49.037,28.255,255.0,256,390.767
2,SAR,4,1,HARD,36.78,57.879,48.269,262.0,252,142.928
44,HAM,14,5,SOFT,27.183,39.18,26.263,308.0,276,92.626
18,STR,17,4,SOFT,39.004,53.918,33.025,269.0,227,125.947
55,SAI,12,4,SOFT,35.875554819720385,61.544,50.631,285.0,250,458.759
2,SAR,20,5,MEDIUM,29.195,43.563,28.182,292.0,263,100.94
1,VER,13,2,SOFT,32.915,46.498,37.375,232.0,194,116.788
24,ZHO,13,3,SOFT,67.976,50.826,36.402,241.0,229,155.204
20,MAG,3,1,MEDIUM,44.344,70.939,48.821,150.0,135,164.104
16,LEC,22,4,HARD,28.045,42.2,28.394,295.0,272,98.639
27,HUL,8,3,MEDIUM,57.534,53.954,35.637,308.0,165,147.125
24,ZHO,17,3,SOFT,31.306,50.672,38.823,269.0,246,120.801
18,STR,18,4,SOFT,27.475,40.326,26.767,307.0,274,94.568
22,TSU,19,3,SOFT,29.157,42.181,28.056,281.0,255,99.394
77,BOT,3,1,SOFT,39.898,58.946,40.414,191.0,163,139.258
20,MAG,9,2,SOFT,27.316,39.319,26.382,310.0,277,93.017
31,OCO,24,3,SOFT,55.249,43.39,36.472,289.0,258,135.111
14,ALO,17,3,SOFT,28.621,42.966,27.344,294.0,265,98.931
23,ALB,2,1,SOFT,27.696,40.106,26.796,308.0,277,94.598
44,HAM,3,1,HARD,48.803,81.749,42.042,120.0,117,172.594
22,TSU,7,1,MEDIUM,51.592,67.99,32.426,126.0,149,152.008
10,GAS,24,3,HARD,60.384,44.74,36.973,290.0,258,142.097
77,BOT,4,1,HARD,27.858,40.18,27.575,303.0,273,95.613
1,VER,23,3,MEDIUM,91.03,59.567,43.649,150.0,147,194.246
31,OCO,16,6,SOFT,35.875554819720385,56.105,58.755,283.0,251,260.987
16,LEC,20,4,SOFT,51.879,68.147,53.57,131.0,131,173.596
24,ZHO,2,1,MEDIUM,28.671,41.205,27.764,302.0,272,97.64
55,SAI,15,4,MEDIUM,29.103,41.731,27.946,285.0,257,98.78
1,VER,21,6,SOFT,57.118,48.484,38.936,205.0,183,144.538
1,VER,15,4,SOFT,50.404,67.962,52.506,142.0,130,170.872
81,PIA,7,1,MEDIUM,42.409,67.17,46.677,202.0,184,156.256
2,SAR,5,1,HARD,28.424,42.443,27.793,308.0,275,98.66
1,VER,13,3,MEDIUM,35.875554819720385,44.321,28.497,265.0,248,534.525
44,HAM,20,5,HARD,38.783,51.976,44.573,175.0,174,135.332
